date	close	
31/01/2007	2.3431	
28/02/2007	2.3423	
30/03/2007	2.3466	
30/04/2007	2.3041	
31/05/2007	2.344	
29/06/2007	2.3778	
31/07/2007	2.378	
31/08/2007	2.3063	
28/09/2007	2.3487	
31/10/2007	2.3213	
30/11/2007	2.1833	
31/12/2007	2.139	
31/01/2008	2.1762	
29/02/2008	2.1841	
31/03/2008	2.0386	
30/04/2008	2.0796	
30/05/2008	2.0813	
30/06/2008	2.0476	
31/07/2008	1.9406	
29/08/2008	1.9644	
30/09/2008	1.9149	
31/10/2008	1.8859	
28/11/2008	1.9212	
31/12/2008	2.0495	
30/01/2009	2.2187	
27/02/2009	2.3541	
31/03/2009	2.4422	
30/04/2009	2.4132	
29/05/2009	2.5252	
30/06/2009	2.5781	
31/07/2009	2.4405	
31/08/2009	2.4075	
30/09/2009	2.5444	
30/10/2009	2.6136	
30/11/2009	2.5162	
31/12/2009	2.5642	
29/01/2010	2.5971	
26/02/2010	2.6054	
31/03/2010	2.6311	
30/04/2010	2.7293	
31/05/2010	2.8089	
30/06/2010	2.8934	
30/07/2010	2.7634	
31/08/2010	2.8109	
30/09/2010	2.8331	
29/10/2010	2.8075	
30/11/2010	2.9997	
31/12/2010	3.0177	
31/01/2011	2.8625	
28/02/2011	2.9214	
31/03/2011	2.9181	
29/04/2011	2.8945	
31/05/2011	2.9351	
30/06/2011	2.9537	
29/07/2011	3.0751	
31/08/2011	3.0661	
30/09/2011	3.1739	
31/10/2011	3.2777	
30/11/2011	3.4152	
30/12/2011	3.467	
31/01/2012	3.4193	
29/02/2012	3.3236	
30/03/2012	3.2448	
30/04/2012	3.2911	
31/05/2012	3.4451	
29/06/2012	3.4464	
31/07/2012	3.5228	
31/08/2012	3.4415	
28/09/2012	3.3232	
31/10/2012	3.3044	
30/11/2012	3.2913	
31/12/2012	3.2183	
31/01/2013	3.2159	
28/02/2013	3.2529	
29/03/2013	3.3934	
30/04/2013	3.2831	
31/05/2013	3.163	
28/06/2013	3.0685	
31/07/2013	2.8845	
30/08/2013	2.8761	
30/09/2013	2.9119	
31/10/2013	2.8993	
29/11/2013	2.8097	
31/12/2013	2.6864	
31/01/2014	2.7387	
28/02/2014	2.7173	
31/03/2014	2.8002	
30/04/2014	2.8277	
30/05/2014	2.8351	
30/06/2014	2.8635	
31/07/2014	2.89	
29/08/2014	2.9905	
30/09/2014	2.8788	
31/10/2014	2.9498	
28/11/2014	2.8654	
31/12/2014	2.8735	
